country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Australia,AUS,709,-16.479668,138.515276,1.0,1455,1000,90,700,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,710,-16.300152,138.533142,1.0,1414,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,711,-16.120628,138.55077,1.0,1372,1000,260,1000,1000,255,253.8,254.2,2.1,256.3,254.2,0.0031372549019608176,90.0,500000.0,785398.1633974483,998,2
Australia,AUS,712,-15.941096,138.568162,1.0,1330,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,713,-15.761555,138.585321,1.0,1287,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,714,-15.582007,138.602251,1.0,1244,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,498,2
Australia,AUS,715,-15.40245,138.618955,1.0,1200,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,716,-15.222885,138.635437,1.0,1156,1000,700,1000,1000,686,683.2,684.4,23.3,707.6999999999999,684.4,0.0023323615160349975,90.0,500000.0,785398.1633974483,997,3
Australia,AUS,717,-15.043313,138.651699,1.0,1112,1000,1000,700,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,90.0,500000.0,785398.1633974483,695,5
Australia,AUS,718,-14.863732,138.667745,1.0,1068,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,719,-14.684144,138.683577,1.0,1023,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,720,-14.504549,138.699198,1.0,979,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,698,2
Australia,AUS,721,-14.324946,138.714612,1.0,934,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,722,-14.145336,138.729821,1.0,890,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,723,-13.965719,138.744828,1.0,846,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,724,-13.786094,138.759636,1.0,802,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,725,-13.606463,138.774247,1.0,758,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,726,-13.426824,138.788664,1.0,715,1000,90,700,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,727,-13.247179,138.80289,1.0,672,1000,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,728,-13.067526,138.816927,1.0,630,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,729,-12.887867,138.830778,1.0,588,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,730,-12.708202,138.844446,1.0,547,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,498,2
Australia,AUS,731,-12.52853,138.857932,1.0,506,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,732,-12.348851,138.871239,1.0,467,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,733,-12.169166,138.88437,1.0,428,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,734,-11.989474,138.897326,1.0,389,1000,15,100,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,735,-11.809777,138.910111,1.0,352,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,498,2
Australia,AUS,736,-11.630073,138.922726,1.0,316,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,499,1
Australia,AUS,737,-11.450363,138.935173,1.0,281,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,738,-11.270647,138.947455,1.0,247,1000,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,739,-11.090925,138.959574,1.0,214,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,740,-10.911197,138.971532,1.0,183,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,499,1
Australia,AUS,741,-10.731463,138.983331,1.0,153,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,742,-10.551723,138.994973,1.0,125,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,743,-10.371978,139.00646,1.0,99,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,499,1
Australia,AUS,744,-10.192227,139.017794,1.0,74,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,745,-10.012471,139.028977,1.0,52,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,746,-9.832709,139.04001,1.0,33,1000,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,747,-9.652941,139.050897,1.0,17,1000,7,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,748,-9.473168,139.061638,1.0,5,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,759,-7.495328,139.170688,1.0,3,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,760,-7.315494,139.179818,1.0,10,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,761,-7.135657,139.188823,1.0,19,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,762,-6.955814,139.197707,1.0,27,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,763,-6.775967,139.206469,1.0,36,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,764,-6.596115,139.215112,1.0,44,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,765,-6.416259,139.223637,1.0,50,1000,7,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,766,-6.236399,139.232045,1.0,56,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,767,-6.056534,139.240338,1.0,60,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,768,-5.876665,139.248517,1.0,62,1000,7,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,499,1
Papua New Guinea,PNG,769,-5.696791,139.256583,1.0,63,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,770,-5.516913,139.264538,1.0,62,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Papua New Guinea,PNG,771,-5.337031,139.272384,1.0,59,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,772,-5.157145,139.28012,1.0,55,1000,15,300,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,773,-4.977255,139.28775,1.0,49,1000,7,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,774,-4.79736,139.295273,1.0,43,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,775,-4.617462,139.302691,1.0,35,1000,15,1000,1000,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,776,-4.43756,139.310006,1.0,26,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Papua New Guinea,PNG,777,-4.257653,139.317218,1.0,17,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Papua New Guinea,PNG,778,-4.077743,139.324329,1.0,9,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Papua New Guinea,PNG,779,-3.897829,139.33134,1.0,2,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Japan,JPN,959,28.524394,139.678772,1.0,4,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,960,28.704629,139.67817,1.0,529,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,961,28.884864,139.677558,1.0,1446,1000,15,100,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,962,29.065099,139.676938,1.0,2618,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,498,2
Japan,JPN,963,29.245335,139.67631,1.0,3992,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,698,2
Japan,JPN,964,29.425571,139.675673,1.0,5536,1000,400,700,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,698,2
Japan,JPN,965,29.605807,139.675029,1.0,7226,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,966,29.786044,139.674376,1.0,9047,1000,260,1000,1000,255,253.8,254.2,2.1,256.3,254.2,0.0031372549019608176,90.0,500000.0,785398.1633974483,998,2
Japan,JPN,967,29.966282,139.673717,1.0,10985,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,968,30.146519,139.67305,1.0,13027,1000,90,1000,1000,95,95.0,94.8,0.3,95.1,94.8,0.002105263157894721,90.0,500000.0,785398.1633974483,999,1
Japan,JPN,969,30.326757,139.672376,1.0,15165,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,498,2
Japan,JPN,970,30.506995,139.671696,1.0,17389,1000,1500,700,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,693,7
Japan,JPN,971,30.687234,139.671009,1.0,19691,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,698,2
Japan,JPN,972,30.867473,139.670315,1.0,22065,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,973,31.047712,139.669616,1.0,24503,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,90.0,500000.0,785398.1633974483,998,2
Japan,JPN,974,31.227951,139.668911,1.0,26998,1000,1000,500,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,90.0,500000.0,785398.1633974483,495,5
Japan,JPN,975,31.408191,139.6682,1.0,29545,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,90.0,500000.0,785398.1633974483,999,1
Japan,JPN,976,31.588431,139.667484,1.0,32136,1000,1500,700,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,693,7
Japan,JPN,977,31.768671,139.666763,1.0,34767,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,978,31.948911,139.666037,1.0,37429,1000,180,500,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,499,1
Japan,JPN,979,32.129152,139.665306,1.0,40117,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,299,1
Japan,JPN,980,32.309393,139.664571,1.0,42823,1000,1000,100,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,90.0,500000.0,785398.1633974483,95,5
Japan,JPN,981,32.489634,139.663832,1.0,45540,1000,2,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,499,1
Japan,JPN,982,32.669875,139.663089,1.0,48261,1000,90,500,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,499,1
Japan,JPN,983,32.850116,139.662341,1.0,50977,1000,180,500,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,499,1
Japan,JPN,984,33.030358,139.661591,1.0,53677,1000,1000,500,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,90.0,500000.0,785398.1633974483,495,5
Japan,JPN,985,33.2106,139.660837,1.0,56352,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,986,33.390841,139.66008,1.0,58989,1000,15,500,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,499,1
Japan,JPN,987,33.571083,139.65932,1.0,61574,1000,1500,700,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,693,7
Japan,JPN,988,33.751325,139.658558,1.0,64091,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,989,33.931568,139.657793,1.0,66521,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,498,2
Japan,JPN,990,34.11181,139.657026,1.0,68843,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,698,2
Japan,JPN,991,34.292052,139.656257,1.0,71031,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,90.0,500000.0,785398.1633974483,998,2
Japan,JPN,992,34.472295,139.655486,1.0,73057,1000,2,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Japan,JPN,993,34.652538,139.654714,1.0,74888,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,90.0,500000.0,785398.1633974483,699,1
Japan,JPN,994,34.83278,139.65394,1.0,76488,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,90.0,500000.0,785398.1633974483,998,2
Japan,JPN,995,35.013023,139.653166,1.0,77823,1000,90,1000,1000,95,95.0,94.8,0.3,95.1,94.8,0.002105263157894721,90.0,500000.0,785398.1633974483,999,1
Japan,JPN,996,35.193266,139.65239,1.0,78861,1000,400,300,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,298,2
Japan,JPN,997,35.373508,139.651614,1.0,79582,1000,7,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Japan,JPN,998,35.553751,139.650838,1.0,79988,1000,1500,300,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,293,7
Japan,JPN,999,35.733994,139.650062,1.0,80086,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,89.31990838154945,500000.0,785398.1633974483,99,1
Japan,JPN,1000,35.914237,139.649285,1.0,80086,1000,260,1000,1000,255,253.8,254.2,2.1,256.3,254.2,0.0031372549019608176,87.20102934424085,500000.0,785398.1633974483,998,2
Japan,JPN,1001,36.094479,139.648509,1.0,80086,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,85.08883619694171,500000.0,785398.1633974483,93,7
Japan,JPN,1002,36.274722,139.647733,1.0,80086,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,82.9882851965711,500000.0,785398.1633974483,297,3
Japan,JPN,1003,36.454965,139.646959,1.0,80018,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,80.90416169834896,500000.0,785398.1633974483,297,3
Japan,JPN,1004,36.635208,139.646185,1.0,79651,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,78.8410149199018,500000.0,785398.1633974483,498,2
Japan,JPN,1005,36.81545,139.645412,1.0,78971,1000,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,76.80310098424047,500000.0,785398.1633974483,299,1
Japan,JPN,1006,36.995693,139.644641,1.0,77973,1000,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,74.79433581534408,500000.0,785398.1633974483,97,3
Japan,JPN,1007,37.175935,139.643871,1.0,76675,1000,400,700,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,72.81825886798123,500000.0,785398.1633974483,698,2
Japan,JPN,1008,37.356177,139.643103,1.0,75107,1000,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,70.87800807063809,500000.0,785398.1633974483,97,3
Japan,JPN,1009,37.53642,139.642338,1.0,73304,1000,1500,300,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,68.97630579662058,500000.0,785398.1633974483,293,7
Japan,JPN,1010,37.716662,139.641574,1.0,71301,1000,1500,1000,1000,1599,1571.6,1574.7,277.0,1851.7,1574.7,0.015196998123827354,67.11545519306566,500000.0,785398.1633974483,993,7
Japan,JPN,1011,37.896904,139.640813,1.0,69131,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,65.29734581695072,500000.0,785398.1633974483,699,1
Japan,JPN,1012,38.077146,139.640055,1.0,66825,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,63.52346726344331,500000.0,785398.1633974483,299,1
Japan,JPN,1013,38.257388,139.6393,1.0,64407,1000,1000,1000,1000,1048,1040.1,1041.2,89.3,1130.5,1041.2,0.0064885496183205715,61.794929324461464,500000.0,785398.1633974483,995,5
Japan,JPN,1014,38.437629,139.638549,1.0,61900,1000,1000,300,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,60.112487173357465,500000.0,785398.1633974483,295,5
Japan,JPN,1015,38.617871,139.6378,1.0,59323,1000,700,1000,1000,686,683.2,684.4,23.3,707.6999999999999,684.4,0.0023323615160349975,58.47657011758042,500000.0,785398.1633974483,997,3
Japan,JPN,1016,38.798112,139.637055,1.0,56691,1000,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,56.88731257394767,500000.0,785398.1633974483,97,3
Japan,JPN,1017,38.978353,139.636315,1.0,54021,1000,1000,700,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,55.344586079125804,500000.0,785398.1633974483,695,5
Japan,JPN,1018,39.158594,139.635578,1.0,51323,1000,700,500,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,53.848031331119955,500000.0,785398.1633974483,497,3
Japan,JPN,1019,39.338835,139.634846,1.0,48608,1000,400,100,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,52.3970894490777,500000.0,785398.1633974483,98,2
Japan,JPN,1020,39.519075,139.634118,1.0,45887,1000,90,700,100,95,94.8,95.0,0.1,95.1,95.0,0.0,50.99103182535072,500000.0,785398.1633974483,699,1
Japan,JPN,1021,39.699315,139.633395,1.0,43169,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,49.62898811617279,500000.0,785398.1633974483,93,7
Japan,JPN,1022,39.879555,139.632677,1.0,40460,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,48.30997206963778,500000.0,785398.1633974483,99,1
Japan,JPN,1023,40.059795,139.631964,1.0,37769,1000,180,1000,1000,167,167.0,167.0,1.1,168.1,167.0,0.0,47.032905018980216,500000.0,785398.1633974483,999,1
Japan,JPN,1024,40.240035,139.631257,1.0,35103,1000,700,700,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,45.796636974836815,500000.0,785398.1633974483,697,3
Japan,JPN,1025,40.420274,139.630556,1.0,32468,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,44.59996533319557,500000.0,785398.1633974483,699,1
Japan,JPN,1026,40.600513,139.62986,1.0,29871,1000,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,43.4416512781695,500000.0,785398.1633974483,299,1
Japan,JPN,1027,40.780751,139.629171,1.0,27318,1000,700,100,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,42.32043400321328,500000.0,785398.1633974483,97,3
Japan,JPN,1028,40.96099,139.628488,1.0,24816,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,41.23504290377812,500000.0,785398.1633974483,99,1
Japan,JPN,1029,41.141228,139.627812,1.0,22370,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,40.18420791150618,500000.0,785398.1633974483,699,1
Japan,JPN,1030,41.321465,139.627143,1.0,19987,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,39.166668147520824,500000.0,785398.1633974483,297,3
Japan,JPN,1031,41.501703,139.62648,1.0,17675,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,38.18117907249288,500000.0,785398.1633974483,699,1
Japan,JPN,1032,41.68194,139.625826,1.0,15440,1000,260,500,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,37.226518305951714,500000.0,785398.1633974483,498,2
Japan,JPN,1033,41.862176,139.625178,1.0,13291,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,36.301490278399285,500000.0,785398.1633974483,297,3
Japan,JPN,1034,42.042413,139.624539,1.0,11236,1000,15,700,100,15,15.0,15.0,0.0,15.0,15.0,0.0,35.40492986850313,500000.0,785398.1633974483,699,1
Japan,JPN,1035,42.222649,139.623907,1.0,9284,1000,180,300,100,167,166.8,167.0,1.2,168.2,167.0,0.0,34.53570516502481,500000.0,785398.1633974483,299,1
Japan,JPN,1036,42.402884,139.623284,1.0,7448,1000,700,1000,1000,686,683.2,684.4,23.3,707.6999999999999,684.4,0.0023323615160349975,33.69271947996134,500000.0,785398.1633974483,997,3
Japan,JPN,1037,42.583119,139.62267,1.0,5740,1000,260,1000,1000,255,253.8,254.2,2.1,256.3,254.2,0.0031372549019608176,32.87491272622344,500000.0,785398.1633974483,998,2
Japan,JPN,1038,42.763354,139.622064,1.0,4176,1000,90,700,100,95,94.8,95.0,0.1,95.1,95.0,0.0,32.0812622604401,500000.0,785398.1633974483,699,1
Japan,JPN,1039,42.943588,139.621467,1.0,2779,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,31.31078327944863,500000.0,785398.1633974483,93,7
Japan,JPN,1040,43.123822,139.620879,1.0,1580,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,30.562528847858033,500000.0,785398.1633974483,999,1
Japan,JPN,1041,43.304056,139.620301,1.0,626,1000,260,1000,1000,255,253.8,254.2,2.1,256.3,254.2,0.0031372549019608176,29.83558962385561,500000.0,785398.1633974483,998,2
Japan,JPN,1042,43.484289,139.619733,1.0,33,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,29.12909334119132,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1069,48.350364,139.60896,1.0,3,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,15.438795309233939,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1070,48.53058,139.608765,1.0,17,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,15.068934220287929,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1071,48.710794,139.608587,1.0,38,1000,7,500,100,10,10.0,10.0,0.0,10.0,10.0,0.0,14.705739393353156,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1072,48.891008,139.608426,1.0,64,1000,2,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,14.348985939574476,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1073,49.071222,139.608283,1.0,94,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,13.998458404870888,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1074,49.251434,139.608158,1.0,126,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,13.653950314778484,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1075,49.431645,139.608051,1.0,162,1000,2,300,100,10,10.0,10.0,0.0,10.0,10.0,0.0,13.315263742838795,500000.0,785398.1633974483,299,1
Russian Federation,RUS,1076,49.611856,139.607963,1.0,200,1000,15,100,100,15,15.0,15.0,0.0,15.0,15.0,0.0,12.982208901351044,500000.0,785398.1633974483,99,1
Russian Federation,RUS,1077,49.792066,139.607893,1.0,240,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,12.65460375335087,500000.0,785398.1633974483,699,1
Russian Federation,RUS,1078,49.972274,139.607843,1.0,282,1000,15,500,100,15,15.0,15.0,0.0,15.0,15.0,0.0,12.332273644720374,500000.0,785398.1633974483,499,1
Russian Federation,RUS,1079,50.152482,139.607812,1.0,326,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,12.015050955380843,500000.0,785398.1633974483,999,1
